"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_MAPK_FAMILY_SIGNALING_CASCADES","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES","60/1437","314/11448",0.191082802547771,1.52227969628871,3.55531310144008,0.00050847877537313,0.0128289241678367,0.0109155108962183,"JUN/IL6ST/FGF7/MMP2/HGF/NRG1/ANGPT1/FGF2/ACTB/RASA3/KITLG/AREG/RGL3/FN1/UBC/JAK3/PSMA1/DUSP1/DUSP5/ERBB4/VCL/PRKACB/FGF1/IL6/MAP2K2/MYC/MAPK12/APBB1IP/ACTG1/RASAL2/RASA1/CSK/EGFR/RET/SEPTIN7/SHC1/SEM1/IRS1/JAK2/SPRED3/KSR1/SPTAN1/EGF/HSPB1/PSMD14/RASGRF2/FGFR1/JAK1/PIK3R1/PEA15/ABHD17A/IQGAP1/MAPK4/SOS1/NCAM1/PDGFA/KALRN/TYK2/HRAS/AGO2",60
"REACTOME_MECHANICAL_LOAD_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_OSTEOCYTES","REACTOME_MECHANICAL_LOAD_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_OSTEOCYTES","8/1437","17/11448",0.470588235294118,3.74898685987965,4.29724887964705,0.000514279030051762,0.0128289241678367,0.0109155108962183,"PIEZO1/ITGAV/PANX1/CACNB2/SPP1/ITGA5/CACNB1/ITGB1",8
"REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY","REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY","9/1437","21/11448",0.428571428571429,3.41425589024754,4.19529329656157,0.000538018048604353,0.0129341604460914,0.0110050513539323,"HGF/UBC/PTPRJ/LRIG1/PTPN2/CBL/PTPN1/EPS15/STAM",9
"REACTOME_SIGNAL_TRANSDUCTION_BY_L1","REACTOME_SIGNAL_TRANSDUCTION_BY_L1","9/1437","21/11448",0.428571428571429,3.41425589024754,4.19529329656157,0.000538018048604353,0.0129341604460914,0.0110050513539323,"NRP1/ITGAV/MAP2K2/EGFR/ITGA5/ITGB1/FGFR1/VAV2/NCAM1",9
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY","REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY","16/1437","53/11448",0.30188679245283,2.40501043841336,3.88414841059154,0.000546779377458672,0.0129341604460914,0.0110050513539323,"NR4A3/NR4A1/NR1D2/NR3C2/PPARG/RORA/NR4A2/AR/PGR/RXRG/RARA/NCOR2/RXRB/ESRRG/PPARD/RXRA",16
"REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS","REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS","19/1437","69/11448",0.27536231884058,2.19370064445856,3.76793515213601,0.00062469717346644,0.014343639269569,0.0122043086926132,"CTNNB1/PECAM1/MMP14/PRR5/PIEZO1/ADCY2/VCL/PRKACB/RICTOR/PANX1/GNG2/ADCY3/GNB1/PDPK1/ADCY4/PRKAR1B/GNG7/PKN2/CALCRL",19
"REACTOME_NGF_STIMULATED_TRANSCRIPTION","REACTOME_NGF_STIMULATED_TRANSCRIPTION","13/1437","39/11448",0.333333333333333,2.65553235908142,3.92357250182652,0.000627272854354331,0.014343639269569,0.0122043086926132,"FOS/EGR1/EGR3/SGK1/JUNB/FOSB/ID4/FOSL1/JUND/F3/EGR2/TRIB1/CHD4",13
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING","REACTOME_MET_ACTIVATES_PTK2_SIGNALING","11/1437","30/11448",0.366666666666667,2.92108559498956,3.99160739301053,0.000654827522303197,0.0147282518131145,0.0125315568979162,"HGF/ITGA2/FN1/COL1A1/LAMC2/LAMC1/LAMA2/COL5A3/LAMB2/COL1A2/ITGB1",11
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK","REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK","17/1437","59/11448",0.288135593220339,2.29546017479919,3.779573284159,0.000675695470271067,0.0149524868582565,0.0127223476490766,"TRIO/PREX1/ARHGEF10/ABR/ARHGEF1/ARHGEF10L/ARHGEF40/RASGRF2/VAV2/ITSN1/MCF2L/PLEKHG2/SOS1/ARHGEF6/MAGED1/KALRN/ARHGEF7",17
"REACTOME_SIGNALING_BY_PTK6","REACTOME_SIGNALING_BY_PTK6","16/1437","54/11448",0.296296296296296,2.36047320807237,3.79650748754162,0.000687836391393278,0.0149795480792314,0.012745372732751,"NRG1/HIF1A/PXN/SOCS3/UBC/LRRK2/ERBB4/STAT3/RASA1/EGFR/BCAR1/CRK/EGF/CBL/PTPN1/HRAS",16
